Name,Currency,Active,Day Count,Fixing Calendar,Effective Date Calendar,Publication Offset Days,Effective Offset Days,Fixed Leg Day Count

GBP-SONIA,GBP,TRUE,Act/365F,GBLO,GBLO,1,0,Act/365F
CHF-SARON,CHF,TRUE,Act/360,CHZU,CHZU,0,0,Act/360
CHF-TOIS,CHF,FALSE,Act/360,CHZU,CHZU,0,1,Act/360
EUR-EONIA,EUR,TRUE,Act/360,EUTA,EUTA,0,0,Act/360
EUR-ESTR,EUR,TRUE,Act/360,EUTA,EUTA,1,0,Act/360
JPY-TONAR,JPY,TRUE,Act/365F,JPTO,JPTO,1,0,Act/365F
USD-FED-FUND,USD,TRUE,Act/360,USNY,USNY,1,0,Act/360
USD-SOFR,USD,TRUE,Act/360,USGS,USGS,1,0,Act/360
USD-AMERIBOR,USD,TRUE,Act/360,USNY,USNY,0,0,Act/360

# standard name
AUD-AONIA,AUD,TRUE,Act/365F,AUSY,AUSY,0,0,Act/365F

# standard name
BRL-CDI,BRL,TRUE,Bus/252 BRBD,BRBD,BRBD,1,0,Bus/252 BRBD

# standard name
CAD-CORRA,CAD,TRUE,Act/365F,CATO,CATO,1,0,Act/365F

# standard name
CLP-TNA,CLP,TRUE,Act/360,CLSA,CLSA,0,0,Act/360

# standard name
COP-OIBR,COP,TRUE,Act/360,COBO,COBO,0,0,Act/360

# standard name
# https://www.cnb.cz/en/financial-markets/money-market/czeonia-reference-interest-rate/
CZK-CZEONIA,CZK,TRUE,Act/360,CZPR,CZPR,1,0,Act/360

# standard name
DKK-TNR,DKK,TRUE,Act/360,DKCO,DKCO,1,1,Act/360
DKK-DESTR,DKK,TRUE,Act/360,DKCO,DKCO,1,1,Act/360

# standard name
HKD-HONIA,HKD,TRUE,Act/365F,HKHK,HKHK,0,0,Act/365F

# standard name
# https://www.mnb.hu/monetaris-politika/penzpiaci-informaciok/referenciamutato-jegyzesi-bizottsag/hufonia-swap-index
HUF-HUFONIA,HUF,TRUE,Act/365F,HUBU,HUBU,1,0,Act/365F

# has replaced Overnight JIBOR
# https://www.bi.go.id/en/moneter/jibor/indonia/Contents/Default.aspx
IDR-INDONIA,IDR,TRUE,Act/365F,IDJA,IDJA,1,0,Act/365F

# TELBOR prefixed by O for uniqueness
# https://www.boi.org.il/en/Markets/TelborMarket/Pages/telbor.aspx
ILS-OTELBOR,ILS,TRUE,Act/365F,ILTA,ILTA,1,0,Act/365F

# MIBOR prefixed by O for uniqueness
INR-OMIBOR,INR,TRUE,Act/365F,INMU,INMU,0,0,Act/365F

# standard name
NOK-NOWA,NOK,TRUE,Act/Act Year,NOOS,NOOS,0,0,Act/360

# standard name
NZD-NZIONA,NZD,TRUE,Act/365F,NZAU+NZWE,NZAU+NZWE,0,0,Act/365F

# standard name
PLN-POLONIA,PLN,TRUE,Act/365F,PLWA,PLWA,0,0,Act/365F

# standard name
# https://www.cbr.ru/eng/hd_base/ruonia/
RUB-RUONIA,RUB,TRUE,Act/365F,RUMO,RUMO,1,0,Act/365F

# SAIBOR prefixed by O for uniqueness
SAR-OSAIBOR,SAR,TRUE,Act/365F,SARI,SARI,1,0,Act/365F

# SIOR is same as STIBOR T/N,,,,,,,
SEK-SIOR,SEK,TRUE,Act/360,SEST,SEST,0,1,Act/360
SEK-SWESTR,SEK,TRUE,Act/360,SEST,SEST,0,1,Act/360

# standard name
SGD-SONAR,SGD,TRUE,Act/365F,SGSI,SGSI,0,0,Act/365F

# SORA, which is the Alternative Reference Rate for SGD
# if a term SORA is created, that can be named TSORA
SGD-SORA,SGD,TRUE,Act/365F,SGSI,SGSI,1,0,Act/365F

# standard name
# https://www.bot.or.th/App/THOR
THB-THOR,THB,TRUE,Act/365F,THBA,THBA,0,2,Act/365F

# standard name
# (Overnight TRLIBOR not the same and less well used)
# https://www.borsaistanbul.com/en/data/data/tlref-data
TRY-TLREF,TRY,TRUE,Act/365F,TRIS,TRIS,1,0,Act/365F

# standard name
ZAR-SABOR,ZAR,TRUE,Act/365F,ZAJO,ZAJO,0,0,Act/365F
